tags: darakwon 10-과

[sound:얼마나_걸려요.mp3]	얼마나 걸려요?	combien de temps faut-il/cela prend-il ?
[sound:재미있었어요.mp3]	재미있었어요<div class="활용"><div class="bloc"><div class="부정사">재미있다</div></div><div class="bloc"><div class="현재">재미있어요</div><div class="과거">재미있었어요</div></div></div>	il était intéressant

[sound:전화했어요.mp3]	전화했어요<div class="활용"><div class="bloc"><div class="부정사">전화하다</div></div><div class="bloc"><div class="현재">전화해요</div><div class="과거">전화했어요</div></div></div>	il téléphonait

[sound:조깅했어요.mp3]	조깅했어요<div class="활용"><div class="bloc"><div class="부정사">조깅하다</div></div><div class="bloc"><div class="현재">조깅해요</div><div class="과거">조깅했어요</div></div></div>	il faisait du jogging

[sound:좋았어요.mp3]	좋았어요<div class="활용"><div class="bloc"><div class="부정사">좋다</div></div><div class="bloc"><div class="현재">좋아요</div><div class="과거">좋았어요</div></div></div>	il était bien (bon)

[sound:좋아했어요.mp3]	좋아했어요<div class="활용"><div class="bloc"><div class="부정사">좋아하다</div></div><div class="bloc"><div class="현재">좋아해요</div><div class="과거">좋아했어요</div></div></div>	il aimait

[sound:줬어요.mp3]	<span class="불규칙">줬</span>어요<p class="small">(<span class="불규칙">주었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">주다</div></div><div class="bloc"><div class="현재">줘요</div><div class="과거">줬어요</div><div class="명령법">주세요</div></div></div>	il donnait

[sound:찾았어요.mp3]	찾았어요<div class="활용"><div class="bloc"><div class="부정사">찾다</div></div><div class="bloc"><div class="현재">찾아요</div><div class="과거">찾았어요</div><div class="명령법">찾으세요</div></div></div>	il cherchait, il trouvait

[sound:채웠어요.mp3]	채<span class="불규칙">웠</span>어요<p class="small">(채<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">채우다</div></div><div class="bloc"><div class="현재">채워요</div><div class="과거">채웠어요</div><div class="명령법">채우세요</div></div></div>	il remplissait, il complétait

[sound:청소하다.mp3]	청소(를 )하다	nettoyer, faire le ménage
[sound:청소해요.mp3]	청소해요<div class="활용"><div class="bloc"><div class="부정사">청소하다</div></div><div class="bloc"><div class="현재">청소해요</div><div class="과거">청소했어요</div></div></div>	il nettoye, il fait le ménage
[sound:청소했어요.mp3]	청소했어요<div class="활용"><div class="bloc"><div class="부정사">청소하다</div></div><div class="bloc"><div class="현재">청소해요</div><div class="과거">청소했어요</div></div></div>	il nettoyait, il faisait le ménage

[sound:축하했어요.mp3]	축하했어요<div class="활용"><div class="bloc"><div class="부정사">축하하다</div></div><div class="bloc"><div class="현재">축하해요</div><div class="과거">축하했어요</div></div></div>	il félicitait, fêtait, célébrait

[sound:친절했어요.mp3]	친절했어요<div class="활용"><div class="bloc"><div class="부정사">친절하다</div></div><div class="bloc"><div class="현재">친절해요</div><div class="과거">친절했어요</div></div></div>	il était gentil (amical, aimable)

[sound:타다.mp3]	타다<p class="small">(&ne;&nbsp;내리다)</p>	monter<p class="small">(dans un véhicule ; &ne;&nbsp;descendre)</p><hr/>prendre<p class="small">(un moyen de transport)</p><hr/>se brûler<ul><li>verbe <span class="em">intransitif</span> (il n'admet pas de complément d'objet) : (S) se brûle</li></ul>
[sound:타요.mp3]	<span class="불규칙">타</span>요<p class="small">(<span class="불규칙">타아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">타다</div></div><div class="bloc"><div class="현재">타요</div><div class="과거">탔어요</div></div></div>	il monte<p class="small">(dans un véhicule)</p><hr/>il prend <p class="small">(un moyen de transport)</p><hr/>il se brûle
[sound:탔어요.mp3]	<span class="불규칙">탔</span>어요<p class="small">(<span class="불규칙">타았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">타다</div></div><div class="bloc"><div class="현재">타요</div><div class="과거">탔어요</div></div></div>	il prenait<p class="small">(un moyen de transport)</p>

[sound:테니스했어요.mp3]	테니스했어요<div class="활용"><div class="bloc"><div class="부정사">테니스하다</div></div><div class="bloc"><div class="현재">테니스해요</div><div class="과거">테니스했어요</div></div></div>	il jouait au tennis

[sound:편하다.mp3]	편하다<p class="small">(&ne;&nbsp;불편하다)</p>	être pratique, confortable<p class="small">(&ne;&nbsp;ne pas être pratique, être inconfortable)</p>
[sound:편해요.mp3]	편해요<div class="활용"><div class="bloc"><div class="부정사">편하다</div></div><div class="bloc"><div class="현재">편해요</div><div class="과거">편했어요</div></div></div>	il est pratique, confortable
[sound:편했어요.mp3]	편했어요<div class="활용"><div class="bloc"><div class="부정사">편하다</div></div><div class="bloc"><div class="현재">편해요</div><div class="과거">편했어요</div></div></div>	il était pratique, confortable

[sound:피곤했어요.mp3]	피곤했어요<div class="활용"><div class="bloc"><div class="부정사">피곤하다</div></div><div class="bloc"><div class="현재">피곤해요</div><div class="과거">피곤했어요</div></div></div>	il était fatigué

[sound:시험을_보다.mp3]	시험(을) 보다	passer un examen
[sound:시험을_봐요.mp3]	시험(을) <span class="불규칙">봐</span>요<p class="small">(시험을 <span class="불규칙">보아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">시험(을) 보다</div></div><div class="bloc"><div class="현재">시험(을) 봐요</div><div class="과거">시험(을) 봤어요</div></div></div>	il passe un examen



# 대화 1

[sound:오늘은_2012년_1월_21일_수요일이에요.mp3]	<ul>오늘은 2012년 1월 21일 수요일이에요.</ul>	<ul>Aujourd'hui nous sommes le mercredi 21 janvier 2012.</ul>

[sound:모르간은_상준을_교실에서_만났어요.mp3]	<ul>모르간은 상준을 교실에서 만났어요.</ul>	<ul>Morgane a rencontré Sang-joon en classe.</ul>

[sound:모르간_씨_지난_주말에_뭐_했어요.mp3]	<ul><li>모르간 씨, 지난 주말에 뭐 했어요?</li><li>집에서 시험 공부했어요. 어제 한국어랑 경제학 시험이 있었어요.</li><li>시험 잘 봤어요?</li><li>네, 그런데 경제학 시험이 조금 어려웠어요.</li></ul>	<ul><li>Morgane, qu'as-tu fait le week-end dernier ?</li><li>J'ai révisé mon examen à la maison. Hier, j'avais un examen de coréen et d'économie.</li><li>As-tu bien réussi tes examens ?</li><li>Oui, mais l'examen d'économie était un peu difficile.</li></ul>

[sound:상준_씨는_주말에_뭐_했어요.mp3]	<ul><li>상준 씨는 주말에 뭐 했어요?</li><li>토요일에는 제 방을 청소했어요. 그리고 친구들하고 수영장에 갔어요.</li><li>일요일에는 뭐 했어요?</li><li>친구들이랑 영화를 봤어요. 그리고 같이 산책했어요.</li></ul>	<ul><li>Sang-joon, qu'as-tu fait ce week-end ?</li><li>Samedi, j'ai nettoyé ma chambre et je suis allé à la piscine avec mes amis.</li><li>Qu'as-tu fait dimanche ?</li><li>J'ai regardé un film avec mes amis. Et nous nous sommes promenés ensemble.</li></ul>



# 대화 2

[sound:오늘_모르간은_예술의_전당에_가요.mp3]	<ul>오늘 모르간은 예술의 전당에 가요.</ul>	<ul>Aujourd'hui, Morgane se rend au centre des arts.</ul>

[sound:상준_씨와_약속이_있어요.mp3]	<ul>상준 씨와 약속이 있어요.</ul>	<ul>Elle a rendez-vous avec Sang-joon.</ul>

[sound:레오_씨_여기에서_예술의_전당까지_어떻게_가요.mp3]	<ul><li>레오 씨, 여기에서 예술의 전당까지 어떻게 가요?</li><li>지하철로 가세요.</li><li>버스는 없어요?</li><li>버스도 있어요. 그런데 길이 많이 막혀요. 지하철이 편해요.</li></ul>	<ul><li>Léo, comment vas-tu au centre des arts à partir d'ici ?</li><li>Vas-y en métro.</li><li>Il n'y a pas de bus ?</li><li>Il y a aussi un bus. Cependant il y a beaucoup d'embouteillage. Le métro est pratique.</li></ul>

[sound:지하철로_얼마나_걸려요.mp3]	<ul><li>지하철로 얼마나 걸려요?</li><li>30분쯤 걸려요.</li><li>지하철 몇 호선을 타요?</li><li>지하철 3호선을 타세요. 그리고 남부터미널 역에서 내리세요. 거기에서 예술의 전당까지 걸어서 5분 걸려요.</li></ul>	<ul><li>Combien de temps faut-il en métro ?</li><li>Cela prend environ 30 minutes.</li><li>Quelle ligne de métro faut-il prendre ?</li><li>Prends la ligne <span style="color:#FE5B10">&#10104;</span> et descends à la station “gare routière de Nambu”. De là, le centre des arts se trouve à cinq minutes à pied.</li></ul>



# 읽기

[sound:모르간은_지난_화요일에_경제학과_한국어_시험을_봤어요.mp3]	<ul>모르간은 지난 화요일에 경제학과 한국어 시험을 봤어요. 한국어 시험이 쉬웠어요. 그런데 경제학 시험은 조금 어려웠어요.</ul>	<ul>Mardi dernier, Morgane a passé un examen d'économie et de coréen. L'examen de coréen était facile mais celui d'économie était un peu difficile.</ul>

[sound:상준은_주말에_방을_청소했어요.mp3]	<ul>상준은 주말에 방을 청소했어요. 그리고 친구들과 영화도 봤어요.</ul>	<ul>Ce week-end Sang-joon a nettoyé sa chambre et il a aussi été voir un film avec ses amis.</ul>

[sound:어제_모르간은_상준_씨와_예술의_전당에_갔어요.mp3]	<ul>어제 모르간은 상준 씨와 예술의 전당에 갔어요. 거기에서 음악을 들었어요.</ul>	<ul>Hier, Morgane est allé au centre des arts avec Sang-joon. Ils y ont écouté de la musique.</ul>

[sound:모르간은_예술의_전당까지_전철을_탔어요.mp3]	<ul>모르간은 예술의 전당까지 전철을 탔어요. 그런데 전철에 사람들이 많았어요.</ul>	<ul>Morgane a pris le métro jusqu'au centre des arts. Cependant il y avait beaucoup de monde dans le métro.</ul>

[sound:모르간은_남부터미널_역에서_내렸어요.mp3]	<ul>모르간은 남부터미널 역에서 내렸어요. 남부터미널 역에서 예술의 전당까지 걸어서 5분 걸렸어요.</ul>	<ul>Morgane est descendue à la station “gare routière de Nambu”. Depuis la station “gare routière de Nambu” jusqu'au centre des arts cela a pris 5 minutes à pied.</ul>



# 듣기와 말하기

[sound:아가트는_도서관에서_책을_읽었어요.mp3]	<ul>아가트는 도서관에서 책을 읽었어요.</ul>	<ul>Agathe a lu un livre à la bibliothèque.</ul>

[sound:요꼬는_극장에서_영화를_봤어요.mp3]	<ul>요꼬는 극장에서 영화를 봤어요.</ul>	<ul>Yoko a regardé un film au cinéma.</ul>

[sound:동수는_집에서_텔레비전을_봤어요.mp3]	<ul>동수는 집에서 텔레비전을 봤어요. 그리고 숙제를 했어요.</ul>	<ul>Dong-soo a regardé la télévision à la maison. Et il a fait ses devoirs.</ul>

[sound:제레미는_카페에서_커피를_마셨어요.mp3]	<ul>제레미는 카페에서 커피를 마셨어요. 그리고 아가트에게 전화했어요.</ul>	<ul>Jérémie a bu un café au café. Et il a téléphoné à Agathe.</ul>

[sound:상준은_공원에서_조깅을_했어요.mp3]	<ul>상준은 공원에서 조깅을 했어요. 그리고 자전거를 탔어요.</ul>	<ul>Sang-joon a fait du jogging dans le parc. Et il a fait du vélo.</ul>


[sound:마리_씨는_지난_토요일에_시내에서_수진_씨를_만났어요.mp3]	<ul>마리 씨는 지난 토요일에 시내에서 수진 씨를 만났어요. 그리고 수진 씨랑 백화점에 갔어요. 백화점까지 버스를 탔어요. 거기까지 15분 걸렸어요.</ul>	<ul>Marie a rencontré Sujin au centre-ville samedi dernier et elle est allé au grand magasin avec elle. Elles ont pris le bus pour le grand magasin. Jusque-là, cela a pris 15 minutes.</ul>

[sound:마리_씨는_청바지하고_가방을_샀어요.mp3]	<ul>마리 씨는 청바지하고 가방을 샀어요. 수진 씨는 책 두 권과 사전 한 권을 샀어요. 그리고 마리 씨와 수진 씨는 프랑스 식당에서 같이 저녁을 먹었어요.</ul>	<ul>Marie a acheté un jean et un sac. Sujin a acheté deux livres et un dictionnaire. Et Marie et Sujin ont dîné ensemble dans un restaurant français.</ul>

[sound:마리_씨는_저녁_9시에_집에_왔어요.mp3]	<ul>마리 씨는 저녁 9시에 집에 왔어요.</ul>	<ul>Marie est rentrée chez elle à neuf heures du soir.</ul>


[sound:이자벨은_은행에_버스로_갔어요.mp3]	<ul>이자벨은 은행에 버스로 갔어요. 집에서 은행까지 15분 걸렸어요. 길이 많이 막혔어요.</ul>	<ul>Isabelle est allée à la banque en bus. De chez elle à la banque, cela a pris 15 minutes. La route était très embouteillée.</ul>

[sound:은행에_사람들이_많았어요.mp3]	<ul>은행에 사람들이 많았어요. 이자벨은 4시 반까지 기다렸어요. 이자벨은 피곤했어요.</ul>	<ul>Il y avait beaucoup de monde à la banque. Isabelle a attendu jusqu'à 16h30. Isabelle était fatiguée.</ul>
